id,revealed,lapses,replied,AUC
99,61,11,232,0.9253269799651538
144,80,0,333,0
114,73,0,335,0
123,71,0,320,0
3,96,0,355,0
64,75,0,307,0
135,93,0,408,0
115,38,0,170,0
63,103,41,342,0
22,39,0,180,0
73,63,22,243,0
131,43,3,184,0
51,45,4,190,0
39,52,24,207,0
47,30,0,101,0
140,43,0,169,0.8976825672430919
143,83,0,328,0
101,71,0,265,0
60,9,3,50,0
146,81,5,262,0
126,73,0,342,0
138,84,0,336,0
59,70,8,272,0
62,75,1,264,0
20,57,0,234,0
142,79,0,342,0
89,95,0,357,0
92,46,0,177,0
136,77,0,317,0
100,90,0,344,0
38,76,27,355,0.8104425364646332
117,78,0,291,0
120,36,8,144,0
9,89,0,340,0
55,81,2,325,0
149,89,18,328,0
11,79,0,329,0
46,80,0,285,0
94,80,0,332,0
107,51,14,229,0
0,29,0,177,0
36,87,4,333,0
72,76,0,348,0
87,73,4,325,0
110,67,0,279,0
70,62,10,263,0.796388173770499
34,84,33,325,0
121,70,3,259,0
28,69,9,269,0
50,93,1,352,0
8,94,8,345,0
52,89,1,324,0
12,73,2,303,0
112,42,0,162,0
98,83,0,330,0
45,47,0,200,0
139,54,0,211,0
148,61,1,285,0
82,59,0,236,0
37,68,9,284,0
84,61,0,242,0.8698405516052575
88,71,1,300,0
97,86,6,320,0
53,32,1,114,0
29,77,0,335,0
49,67,8,254,0
25,65,24,290,0
111,56,0,248,0
77,71,0,268,0
113,59,0,270,0
80,55,18,264,0
17,75,2,296,0
31,65,19,231,0
141,77,0,343,0
150,77,1,334,0
13,80,1,315,0.8825468240462295
132,10,0,61,0
147,73,0,328,0
124,43,14,132,0
74,98,77,330,0
68,91,2,348,0
118,48,0,200,0
27,66,3,305,0
127,70,0,318,0
119,70,30,287,0
23,71,0,311,0
16,85,19,346,0
93,89,11,324,0
108,84,0,334,0
48,90,5,349,0
95,29,3,98,0.8661125169552439
91,63,22,338,0
6,81,0,331,0
21,59,0,326,0
42,70,1,296,0
66,71,0,332,0
19,56,0,262,0
109,75,0,250,0
14,39,0,154,0
78,72,0,314,0
134,93,6,312,0
76,67,24,268,0
30,63,15,338,0
43,68,1,278,0
44,70,2,278,0
104,75,0,297,0.8580262985328615
86,48,0,188,0
26,92,34,329,0
67,71,17,282,0
18,90,5,348,0
81,95,0,334,0
90,55,0,212,0
56,91,38,300,0
40,83,40,314,0
125,30,5,126,0
35,92,14,344,0
10,68,10,253,0
58,35,1,128,0
116,45,5,140,0
69,37,9,122,0
106,57,0,268,0.8834411228028248
33,13,9,62,0
105,79,6,343,0
75,66,0,302,0
79,81,0,343,0
145,56,0,268,0
85,87,5,368,0
137,56,19,252,0
1,62,5,280,0
7,77,14,235,0
102,90,1,374,0
83,81,0,324,0
41,58,4,221,0
32,98,0,338,0
61,68,0,304,0
2,95,8,338,0.7325636568156254
96,92,5,348,0
65,71,2,267,0
24,72,7,288,0
133,93,17,321,0
130,99,1,357,0
5,95,17,336,0
54,89,1,310,0
128,82,0,307,0
15,75,0,316,0
122,79,16,321,0
4,90,0,332,0
57,85,0,338,0
103,78,0,320,0
129,62,1,305,0
71,109,10,371,0
