id,revealed,lapses,replied,AUC
125,30,8,126,0.8875996044080248
119,57,20,287,0
133,74,15,321,0
114,85,0,335,0
26,76,32,329,0
149,60,17,328,0
98,85,0,330,0
97,66,6,320,0
108,71,0,334,0
126,86,0,342,0
89,81,0,357,0
116,26,5,140,0
113,59,0,270,0
72,61,0,348,0
148,66,1,285,0
117,70,0,291,0.866704046250046
22,41,0,180,0
110,68,0,279,0
36,77,4,333,0
55,68,2,325,0
30,65,16,338,0
69,30,7,122,0
104,56,0,297,0
50,84,2,352,0
93,62,11,324,0
145,60,0,268,0
17,63,2,296,0
143,79,0,328,0
34,70,37,325,0
78,75,0,314,0
150,77,1,334,0.7367757823638693
128,82,0,307,0
37,55,7,284,0
49,55,7,254,0
77,52,0,268,0
61,64,0,304,0
19,56,0,262,0
121,59,3,259,0
90,40,0,212,0
146,59,5,262,0
112,32,0,162,0
132,19,0,61,0
57,73,0,338,0
47,26,0,101,0
58,33,1,128,0
29,85,0,335,0.800204557630595
32,75,0,338,0
65,57,2,267,0
91,62,19,338,0
84,59,0,242,0
111,52,0,248,0
70,69,10,263,0
42,68,1,296,0
14,37,0,154,0
62,67,1,264,0
59,64,8,272,0
0,33,0,177,0
43,64,1,278,0
83,75,0,324,0
94,66,0,332,0
134,70,6,312,0.7917717491220213
45,47,0,200,0
102,92,1,374,0
124,35,13,132,0
52,76,1,324,0
56,67,37,300,0
27,78,3,305,0
137,59,18,252,0
130,83,1,357,0
28,67,7,269,0
35,79,15,344,0
73,53,22,243,0
95,25,3,98,0
80,62,15,264,0
23,72,0,311,0
48,83,5,349,0.8712059059448753
131,32,3,184,0
122,65,16,321,0
74,74,60,330,0
46,71,0,285,0
99,62,9,232,0
82,47,0,236,0
51,38,4,190,0
88,62,1,300,0
38,80,28,355,0
1,59,5,280,0
86,40,0,188,0
12,54,2,303,0
66,67,0,332,0
109,61,0,250,0
11,83,0,329,0.7895373940635418
96,88,5,348,0
15,76,0,316,0
135,111,0,408,0
41,55,3,221,0
105,92,3,343,0
67,64,17,282,0
10,64,9,253,0
2,86,7,338,0
7,71,17,235,0
100,95,0,344,0
101,64,0,265,0
92,49,0,177,0
71,107,9,371,0
147,72,0,328,0
39,57,21,207,0.8527359029578517
103,83,0,320,0
31,60,15,231,0
138,96,0,336,0
118,54,0,200,0
75,84,0,302,0
115,38,0,170,0
54,90,1,310,0
79,90,0,343,0
144,89,0,333,0
120,37,8,144,0
107,68,10,229,0
140,41,0,169,0
53,30,1,114,0
16,79,16,346,0
123,91,0,320,0.9012352130009641
5,85,17,336,0
85,90,6,368,0
64,81,0,307,0
63,91,42,342,0
129,68,1,305,0
40,77,35,314,0
127,80,0,318,0
4,97,0,332,0
24,64,8,288,0
68,97,2,348,0
3,96,0,355,0
87,86,5,325,0
142,101,0,342,0
25,60,20,290,0
33,18,9,62,0.8923583553166989
139,44,0,211,0
9,79,0,340,0
13,61,1,315,0
20,56,0,234,0
60,8,5,50,0
136,76,0,317,0
21,68,0,326,0
44,56,2,278,0
76,70,27,268,0
6,76,0,331,0
81,72,0,334,0
141,72,0,343,0
8,66,8,345,0
18,87,4,348,0
106,57,0,268,0
