id,revealed,lapses,replied,AUC
117,124,0,291,0.9180098534152424
97,147,6,320,0
84,101,0,242,0
75,143,0,302,0
63,172,51,342,0
38,139,31,355,0
4,147,0,332,0
112,63,0,162,0
69,51,14,122,0
43,121,1,278,0
102,176,1,374,0
114,140,0,335,0
142,152,0,342,0
35,135,16,344,0
45,76,0,200,0
120,59,8,144,0.8730292473732879
52,135,1,324,0
53,46,1,114,0
12,115,2,303,0
149,138,20,328,0
48,158,7,349,0
23,121,0,311,0
0,66,0,177,0
116,54,5,140,0
62,115,1,264,0
81,139,0,334,0
29,123,0,335,0
147,121,0,328,0
21,119,0,326,0
33,30,11,62,0
25,141,23,290,0.797898403777358
54,155,1,310,0
150,155,1,334,0
141,157,0,343,0
67,132,18,282,0
138,143,0,336,0
19,145,0,262,0
99,127,12,232,0
11,134,0,329,0
44,113,2,278,0
59,123,8,272,0
111,111,0,248,0
31,114,21,231,0
131,83,3,184,0
107,96,12,229,0
76,114,35,268,0.819314381270903
72,130,0,348,0
115,61,0,170,0
15,132,0,316,0
91,140,20,338,0
132,24,0,61,0
65,123,2,267,0
148,84,1,285,0
1,106,5,280,0
50,115,2,352,0
27,98,3,305,0
51,74,4,190,0
49,92,7,254,0
39,75,25,207,0
134,109,5,312,0
78,132,0,314,0.8782598231497489
122,145,17,321,0
121,111,3,259,0
100,140,0,344,0
7,99,18,235,0
104,136,0,297,0
10,108,10,253,0
119,119,31,287,0
28,139,10,269,0
32,151,0,338,0
143,143,0,328,0
42,135,1,296,0
85,156,6,368,0
30,134,19,338,0
108,132,0,334,0
86,84,0,188,0.9082301353555499
93,126,11,324,0
90,84,0,212,0
9,142,0,340,0
144,156,0,333,0
46,121,0,285,0
16,145,19,346,0
22,75,0,180,0
3,155,0,355,0
13,130,1,315,0
109,110,0,250,0
34,157,54,325,0
70,119,10,263,0
60,18,6,50,0
94,159,0,332,0
5,144,18,336,0.8845192061381575
98,135,0,330,0
18,159,5,348,0
95,47,3,98,0
137,100,19,252,0
110,123,0,279,0
8,151,9,345,0
66,146,0,332,0
26,171,42,329,0
41,97,4,221,0
36,158,4,333,0
80,111,22,264,0
83,152,0,324,0
17,136,2,296,0
6,167,0,331,0
96,123,5,348,0.8889621318373072
40,141,42,314,0
103,114,0,320,0
145,101,0,268,0
37,105,9,284,0
64,120,0,307,0
58,54,1,128,0
88,110,1,300,0
113,102,0,270,0
106,104,0,268,0
123,133,0,320,0
146,97,5,262,0
57,144,0,338,0
89,131,0,357,0
73,102,28,243,0
92,74,0,177,0.9097163211919088
128,135,0,307,0
127,129,0,318,0
2,154,9,338,0
136,141,0,317,0
82,95,0,236,0
77,149,0,268,0
71,153,9,371,0
124,67,16,132,0
139,85,0,211,0
133,143,17,321,0
79,147,0,343,0
125,50,9,126,0
126,153,0,342,0
56,149,49,300,0
130,141,1,357,0.8414428989986799
20,90,0,234,0
24,116,8,288,0
101,98,0,265,0
129,125,1,305,0
74,150,84,330,0
68,150,2,348,0
55,128,2,325,0
140,63,0,169,0
61,138,0,304,0
14,65,0,154,0
118,78,0,200,0
87,132,4,325,0
105,124,7,343,0
47,34,0,101,0
135,165,0,408,0
