id,revealed,lapses,replied,AUC
117,50,0,291,0.890823924613972
97,72,6,320,0
84,45,0,242,0
75,74,0,302,0
63,80,42,342,0
38,81,27,355,0
4,84,0,332,0
112,39,0,162,0
69,26,6,122,0
43,49,1,278,0
102,88,1,374,0
114,82,0,335,0
142,75,0,342,0
35,75,15,344,0
45,43,0,200,0
120,39,8,144,0.8428440266013624
52,86,1,324,0
53,20,1,114,0
12,68,2,303,0
149,79,16,328,0
48,83,5,349,0
23,73,0,311,0
0,39,0,177,0
116,37,5,140,0
62,64,1,264,0
81,92,0,334,0
29,101,0,335,0
147,92,0,328,0
21,74,0,326,0
33,14,9,62,0
25,67,23,290,0.7843195371723465
54,68,1,310,0
150,74,1,334,0
141,86,0,343,0
67,61,14,282,0
138,88,0,336,0
19,71,0,262,0
99,48,8,232,0
11,88,0,329,0
44,86,2,278,0
59,67,7,272,0
111,68,0,248,0
31,62,17,231,0
131,54,2,184,0
107,70,12,229,0
76,64,25,268,0.7941057734535996
72,98,0,348,0
115,48,0,170,0
15,62,0,316,0
91,78,17,338,0
132,20,0,61,0
65,66,2,267,0
148,62,1,285,0
1,61,5,280,0
50,95,2,352,0
27,69,3,305,0
51,49,4,190,0
49,60,7,254,0
39,56,25,207,0
134,82,5,312,0
78,63,0,314,0.829193636599964
122,77,15,321,0
121,61,3,259,0
100,89,0,344,0
7,55,16,235,0
104,69,0,297,0
10,61,8,253,0
119,69,22,287,0
28,59,9,269,0
32,88,0,338,0
143,60,0,328,0
42,60,1,296,0
85,65,5,368,0
30,82,17,338,0
108,75,0,334,0
86,44,0,188,0.8850985212154943
93,77,11,324,0
90,48,0,212,0
9,80,0,340,0
144,82,0,333,0
46,75,0,285,0
16,83,15,346,0
22,32,0,180,0
3,97,0,355,0
13,82,1,315,0
109,62,0,250,0
34,84,46,325,0
70,67,10,263,0
60,17,7,50,0
94,82,0,332,0
5,77,18,336,0.8609223771399451
98,87,0,330,0
18,77,5,348,0
95,22,3,98,0
137,53,18,252,0
110,69,0,279,0
8,75,8,345,0
66,76,0,332,0
26,81,28,329,0
41,52,4,221,0
36,84,4,333,0
80,50,14,264,0
83,81,0,324,0
17,71,2,296,0
6,94,0,331,0
96,90,5,348,0.8815942028985507
40,80,34,314,0
103,83,0,320,0
145,83,0,268,0
37,75,8,284,0
64,97,0,307,0
58,30,1,128,0
88,73,1,300,0
113,60,0,270,0
106,80,0,268,0
123,84,0,320,0
146,66,5,262,0
57,92,0,338,0
89,93,0,357,0
73,56,21,243,0
92,30,0,177,0.9043704124476551
128,64,0,307,0
127,69,0,318,0
2,80,8,338,0
136,60,0,317,0
82,46,0,236,0
77,52,0,268,0
71,92,9,371,0
124,34,11,132,0
139,45,0,211,0
133,65,16,321,0
79,62,0,343,0
125,24,7,126,0
126,67,0,342,0
56,98,40,300,0
130,102,1,357,0.852658448436846
20,63,0,234,0
24,70,8,288,0
101,73,0,265,0
129,71,1,305,0
74,89,62,330,0
68,103,2,348,0
55,74,2,325,0
140,44,0,169,0
61,75,0,304,0
14,39,0,154,0
118,48,0,200,0
87,75,4,325,0
105,73,6,343,0
47,24,0,101,0
135,104,0,408,0
