id,revealed,lapses,replied,AUC
99,33,9,232,0.9266600325366717
144,41,0,333,0
114,46,0,335,0
123,52,0,320,0
3,49,0,355,0
64,29,0,307,0
135,50,0,408,0
115,27,0,170,0
63,52,35,342,0
22,24,0,180,0
73,34,18,243,0
131,23,2,184,0
51,27,4,190,0
39,27,14,207,0
47,16,0,101,0
140,19,0,169,0.8745786308141127
143,42,0,328,0
101,36,0,265,0
60,4,3,50,0
146,36,4,262,0
126,31,0,342,0
138,40,0,336,0
59,26,8,272,0
62,24,1,264,0
20,19,0,234,0
142,29,0,342,0
89,42,0,357,0
92,18,0,177,0
136,31,0,317,0
100,38,0,344,0
38,34,21,355,0.8169169198964169
117,30,0,291,0
120,12,6,144,0
9,40,0,340,0
55,28,2,325,0
149,36,13,328,0
11,32,0,329,0
46,37,0,285,0
94,45,0,332,0
107,28,10,229,0
0,15,0,177,0
36,39,3,333,0
72,40,0,348,0
87,33,4,325,0
110,21,0,279,0
70,35,9,263,0.8108052874921253
34,33,22,325,0
121,26,2,259,0
28,32,6,269,0
50,36,1,352,0
8,31,8,345,0
52,35,1,324,0
12,39,2,303,0
112,22,0,162,0
98,36,0,330,0
45,21,0,200,0
139,24,0,211,0
148,41,1,285,0
82,28,0,236,0
37,32,7,284,0
84,19,0,242,0.8291424262012498
88,32,1,300,0
97,41,6,320,0
53,13,1,114,0
29,33,0,335,0
49,25,7,254,0
25,32,20,290,0
111,25,0,248,0
77,31,0,268,0
113,29,0,270,0
80,26,11,264,0
17,29,2,296,0
31,21,8,231,0
141,39,0,343,0
150,26,1,334,0
13,33,1,315,0.8457953547645135
132,12,0,61,0
147,41,0,328,0
124,16,10,132,0
74,40,34,330,0
68,36,2,348,0
118,18,0,200,0
27,43,3,305,0
127,35,0,318,0
119,33,15,287,0
23,41,0,311,0
16,42,11,346,0
93,36,9,324,0
108,40,0,334,0
48,52,5,349,0
95,6,3,98,0.8706370971667918
91,29,15,338,0
6,36,0,331,0
21,43,0,326,0
42,35,1,296,0
66,35,0,332,0
19,25,0,262,0
109,22,0,250,0
14,16,0,154,0
78,31,0,314,0
134,27,5,312,0
76,27,16,268,0
30,34,17,338,0
43,42,1,278,0
44,26,2,278,0
104,29,0,297,0.8363005808728663
86,20,0,188,0
26,33,22,329,0
67,42,16,282,0
18,44,4,348,0
81,38,0,334,0
90,25,0,212,0
56,33,20,300,0
40,26,18,314,0
125,12,5,126,0
35,35,13,344,0
10,23,8,253,0
58,10,1,128,0
116,13,4,140,0
69,14,4,122,0
106,25,0,268,0.8263593795508689
33,2,4,62,0
105,37,5,343,0
75,36,0,302,0
79,35,0,343,0
145,33,0,268,0
85,42,4,368,0
137,25,14,252,0
1,32,5,280,0
7,21,12,235,0
102,44,1,374,0
83,42,0,324,0
41,32,3,221,0
32,44,0,338,0
61,47,0,304,0
2,42,7,338,0.7373974844053583
96,43,4,348,0
65,20,2,267,0
24,35,8,288,0
133,27,11,321,0
130,36,1,357,0
5,34,16,336,0
54,29,1,310,0
128,35,0,307,0
15,32,0,316,0
122,22,12,321,0
4,30,0,332,0
57,34,0,338,0
103,29,0,320,0
129,34,1,305,0
71,43,7,371,0
