id,revealed,lapses,replied,AUC
99,10,5,232,0.8421882270230981
144,16,0,333,0
114,17,0,335,0
123,14,0,320,0
3,21,0,355,0
64,10,0,307,0
135,13,0,408,0
115,10,0,170,0
63,17,11,342,0
22,5,0,180,0
73,15,11,243,0
131,8,3,184,0
51,5,1,190,0
39,12,11,207,0
47,5,0,101,0
140,3,0,169,0.8220042703958328
143,10,0,328,0
101,7,0,265,0
60,2,2,50,0
146,10,4,262,0
126,14,0,342,0
138,10,0,336,0
59,9,7,272,0
62,7,1,264,0
20,9,0,234,0
142,16,0,342,0
89,10,0,357,0
92,6,0,177,0
136,13,0,317,0
100,17,0,344,0
38,16,13,355,0.7783339962856629
117,10,0,291,0
120,5,4,144,0
9,13,0,340,0
55,13,1,325,0
149,6,6,328,0
11,9,0,329,0
46,7,0,285,0
94,12,0,332,0
107,10,5,229,0
0,5,0,177,0
36,7,3,333,0
72,10,0,348,0
87,8,4,325,0
110,6,0,279,0
70,10,4,263,0.7811928465393478
34,8,12,325,0
121,11,2,259,0
28,11,5,269,0
50,16,1,352,0
8,9,6,345,0
52,10,1,324,0
12,17,2,303,0
112,6,0,162,0
98,19,0,330,0
45,5,0,200,0
139,8,0,211,0
148,13,1,285,0
82,9,0,236,0
37,17,6,284,0
84,12,0,242,0.7482703081232494
88,11,1,300,0
97,10,3,320,0
53,5,1,114,0
29,10,0,335,0
49,7,4,254,0
25,8,11,290,0
111,7,0,248,0
77,8,0,268,0
113,3,0,270,0
80,6,6,264,0
17,15,2,296,0
31,3,4,231,0
141,16,0,343,0
150,7,1,334,0
13,12,1,315,0.8287619828374427
132,1,0,61,0
147,13,0,328,0
124,5,3,132,0
74,12,19,330,0
68,17,2,348,0
118,7,0,200,0
27,12,2,305,0
127,8,0,318,0
119,11,9,287,0
23,15,0,311,0
16,14,10,346,0
93,14,8,324,0
108,12,0,334,0
48,12,5,349,0
95,6,3,98,0.8184116050709662
91,12,9,338,0
6,18,0,331,0
21,11,0,326,0
42,15,1,296,0
66,8,0,332,0
19,11,0,262,0
109,11,0,250,0
14,4,0,154,0
78,16,0,314,0
134,14,5,312,0
76,10,11,268,0
30,7,9,338,0
43,9,1,278,0
44,13,1,278,0
104,13,0,297,0.7656965209003757
86,3,0,188,0
26,10,10,329,0
67,5,8,282,0
18,12,3,348,0
81,17,0,334,0
90,10,0,212,0
56,7,9,300,0
40,9,9,314,0
125,1,1,126,0
35,17,9,344,0
10,8,6,253,0
58,6,1,128,0
116,10,4,140,0
69,5,2,122,0
106,7,0,268,0.6923158306137028
33,3,5,62,0
105,23,2,343,0
75,10,0,302,0
79,10,0,343,0
145,9,0,268,0
85,18,2,368,0
137,8,10,252,0
1,9,4,280,0
7,7,5,235,0
102,14,1,374,0
83,7,0,324,0
41,12,2,221,0
32,15,0,338,0
61,9,0,304,0
2,15,6,338,0.7567569962845553
96,11,4,348,0
65,16,2,267,0
24,11,6,288,0
133,11,7,321,0
130,16,1,357,0
5,11,12,336,0
54,12,1,310,0
128,12,0,307,0
15,12,0,316,0
122,11,10,321,0
4,14,0,332,0
57,8,0,338,0
103,22,0,320,0
129,7,1,305,0
71,13,7,371,0
