id,revealed,lapses,replied,AUC
125,48,9,126,0.9026886126024302
119,125,31,287,0
133,138,17,321,0
114,133,0,335,0
26,140,43,329,0
149,138,24,328,0
98,141,0,330,0
97,119,6,320,0
108,130,0,334,0
126,127,0,342,0
89,148,0,357,0
116,57,5,140,0
113,86,0,270,0
72,140,0,348,0
148,118,1,285,0
117,135,0,291,0.8570716151484357
22,70,0,180,0
110,131,0,279,0
36,134,4,333,0
55,115,2,325,0
30,137,19,338,0
69,51,11,122,0
104,141,0,297,0
50,154,2,352,0
93,143,12,324,0
145,96,0,268,0
17,122,2,296,0
143,128,0,328,0
34,142,50,325,0
78,122,0,314,0
150,128,1,334,0.7243940550427006
128,106,0,307,0
37,86,7,284,0
49,103,8,254,0
77,90,0,268,0
61,72,0,304,0
19,87,0,262,0
121,91,3,259,0
90,69,0,212,0
146,108,5,262,0
112,47,0,162,0
132,23,0,61,0
57,114,0,338,0
47,36,0,101,0
58,45,1,128,0
29,123,0,335,0.8144730837153006
32,147,0,338,0
65,103,2,267,0
91,146,24,338,0
84,96,0,242,0
111,100,0,248,0
70,120,10,263,0
42,106,1,296,0
14,63,0,154,0
62,94,1,264,0
59,114,8,272,0
0,73,0,177,0
43,110,1,278,0
83,146,0,324,0
94,126,0,332,0
134,138,5,312,0.8186748218508654
45,68,0,200,0
102,137,1,374,0
124,59,15,132,0
52,112,1,324,0
56,148,44,300,0
27,95,3,305,0
137,104,19,252,0
130,161,1,357,0
28,117,10,269,0
35,136,15,344,0
73,97,27,243,0
95,41,3,98,0
80,131,21,264,0
23,123,0,311,0
48,138,6,349,0.8648444215680384
131,79,3,184,0
122,149,18,321,0
74,165,93,330,0
46,118,0,285,0
99,98,13,232,0
82,89,0,236,0
51,83,4,190,0
88,119,1,300,0
38,162,29,355,0
1,130,5,280,0
86,65,0,188,0
12,126,2,303,0
66,126,0,332,0
109,113,0,250,0
11,134,0,329,0.7775941880547858
96,128,5,348,0
15,117,0,316,0
135,143,0,408,0
41,94,4,221,0
105,129,7,343,0
67,127,16,282,0
10,107,10,253,0
2,146,8,338,0
7,96,19,235,0
100,127,0,344,0
101,106,0,265,0
92,69,0,177,0
71,152,10,371,0
147,147,0,328,0
39,84,25,207,0.8852865556190392
103,116,0,320,0
31,87,18,231,0
138,139,0,336,0
118,76,0,200,0
75,121,0,302,0
115,75,0,170,0
54,122,1,310,0
79,131,0,343,0
144,132,0,333,0
120,58,8,144,0
107,84,13,229,0
140,69,0,169,0
53,44,1,114,0
16,119,19,346,0
123,124,0,320,0.9023598983005807
5,148,17,336,0
85,147,7,368,0
64,124,0,307,0
63,137,51,342,0
129,122,1,305,0
40,127,41,314,0
127,140,0,318,0
4,145,0,332,0
24,116,7,288,0
68,132,2,348,0
3,152,0,355,0
87,116,4,325,0
142,144,0,342,0
25,109,22,290,0
33,34,10,62,0.8802303403201381
139,86,0,211,0
9,132,0,340,0
13,87,1,315,0
20,97,0,234,0
60,19,6,50,0
136,116,0,317,0
21,120,0,326,0
44,122,2,278,0
76,115,32,268,0
6,147,0,331,0
81,117,0,334,0
141,128,0,343,0
8,124,9,345,0
18,151,5,348,0
106,101,0,268,0
