id,revealed,lapses,replied,AUC
99,105,12,232,0.9448888896436248
144,129,0,333,0
114,131,0,335,0
123,125,0,320,0
3,129,0,355,0
64,118,0,307,0
135,143,0,408,0
115,66,0,170,0
63,131,50,342,0
22,80,0,180,0
73,105,27,243,0
131,85,3,184,0
51,83,4,190,0
39,90,27,207,0
47,42,0,101,0
140,58,0,169,0.897475304441681
143,122,0,328,0
101,108,0,265,0
60,24,7,50,0
146,111,5,262,0
126,135,0,342,0
138,149,0,336,0
59,123,8,272,0
62,112,1,264,0
20,94,0,234,0
142,155,0,342,0
89,136,0,357,0
92,61,0,177,0
136,128,0,317,0
100,146,0,344,0
38,152,29,355,0.8107483063146435
117,98,0,291,0
120,59,8,144,0
9,135,0,340,0
55,96,2,325,0
149,140,25,328,0
11,139,0,329,0
46,100,0,285,0
94,114,0,332,0
107,96,13,229,0
0,59,0,177,0
36,130,4,333,0
72,132,0,348,0
87,131,6,325,0
110,105,0,279,0
70,115,10,263,0.8244180292669315
34,143,53,325,0
121,100,3,259,0
28,124,10,269,0
50,144,2,352,0
8,146,9,345,0
52,122,1,324,0
12,116,2,303,0
112,64,0,162,0
98,135,0,330,0
45,71,0,200,0
139,74,0,211,0
148,125,1,285,0
82,100,0,236,0
37,104,8,284,0
84,100,0,242,0.8749903038138332
88,148,1,300,0
97,128,6,320,0
53,47,1,114,0
29,150,0,335,0
49,121,8,254,0
25,132,24,290,0
111,108,0,248,0
77,112,0,268,0
113,119,0,270,0
80,130,19,264,0
17,136,2,296,0
31,106,22,231,0
141,171,0,343,0
150,149,1,334,0
13,122,1,315,0.8839248017861906
132,28,0,61,0
147,130,0,328,0
124,51,11,132,0
74,155,98,330,0
68,150,2,348,0
118,81,0,200,0
27,116,3,305,0
127,116,0,318,0
119,123,31,287,0
23,130,0,311,0
16,131,19,346,0
93,129,13,324,0
108,129,0,334,0
48,163,6,349,0
95,39,3,98,0.8801100790274252
91,121,25,338,0
6,130,0,331,0
21,131,0,326,0
42,115,1,296,0
66,118,0,332,0
19,115,0,262,0
109,93,0,250,0
14,65,0,154,0
78,120,0,314,0
134,124,5,312,0
76,107,33,268,0
30,139,18,338,0
43,102,1,278,0
44,105,2,278,0
104,104,0,297,0.8734800622543759
86,72,0,188,0
26,170,45,329,0
67,125,16,282,0
18,135,5,348,0
81,131,0,334,0
90,79,0,212,0
56,146,49,300,0
40,146,45,314,0
125,54,13,126,0
35,143,16,344,0
10,103,10,253,0
58,47,1,128,0
116,53,5,140,0
69,57,14,122,0
106,101,0,268,0.8618826065634575
33,27,11,62,0
105,148,6,343,0
75,116,0,302,0
79,128,0,343,0
145,105,0,268,0
85,145,5,368,0
137,106,19,252,0
1,109,5,280,0
7,95,17,235,0
102,150,1,374,0
83,119,0,324,0
41,98,4,221,0
32,131,0,338,0
61,149,0,304,0
2,146,7,338,0.7432355046528275
96,135,5,348,0
65,104,2,267,0
24,122,7,288,0
133,131,17,321,0
130,178,1,357,0
5,142,17,336,0
54,135,1,310,0
128,147,0,307,0
15,116,0,316,0
122,125,18,321,0
4,149,0,332,0
57,135,0,338,0
103,117,0,320,0
129,128,1,305,0
71,145,10,371,0
