id,revealed,lapses,replied,AUC
117,18,0,291,0.796641220926526
97,10,6,320,0
84,10,0,242,0
75,17,0,302,0
63,10,9,342,0
38,8,8,355,0
4,15,0,332,0
112,4,0,162,0
69,3,2,122,0
43,9,1,278,0
102,18,1,374,0
114,20,0,335,0
142,13,0,342,0
35,18,9,344,0
45,11,0,200,0
120,3,1,144,0.7338254158310625
52,6,1,324,0
53,3,1,114,0
12,5,2,303,0
149,10,7,328,0
48,13,3,349,0
23,9,0,311,0
0,8,0,177,0
116,2,3,140,0
62,4,1,264,0
81,9,0,334,0
29,14,0,335,0
147,10,0,328,0
21,14,0,326,0
33,1,3,62,0
25,10,7,290,0.7584683841364471
54,15,1,310,0
150,16,1,334,0
141,7,0,343,0
67,15,9,282,0
138,14,0,336,0
19,18,0,262,0
99,9,4,232,0
11,11,0,329,0
44,11,2,278,0
59,12,5,272,0
111,9,0,248,0
31,10,9,231,0
131,6,3,184,0
107,8,8,229,0
76,12,8,268,0.6355520083780953
72,11,0,348,0
115,9,0,170,0
15,6,0,316,0
91,9,8,338,0
132,1,0,61,0
65,4,2,267,0
148,10,1,285,0
1,11,4,280,0
50,13,1,352,0
27,10,1,305,0
51,5,4,190,0
49,14,6,254,0
39,12,9,207,0
134,10,2,312,0
78,11,0,314,0.7955896975433352
122,14,12,321,0
121,10,2,259,0
100,14,0,344,0
7,8,6,235,0
104,9,0,297,0
10,9,3,253,0
119,11,8,287,0
28,9,3,269,0
32,13,0,338,0
143,11,0,328,0
42,13,1,296,0
85,6,2,368,0
30,15,12,338,0
108,13,0,334,0
86,6,0,188,0.8247286704853783
93,12,5,324,0
90,15,0,212,0
9,9,0,340,0
144,11,0,333,0
46,7,0,285,0
16,13,9,346,0
22,9,0,180,0
3,15,0,355,0
13,11,1,315,0
109,11,0,250,0
34,17,20,325,0
70,12,7,263,0
60,5,2,50,0
94,10,0,332,0
5,9,8,336,0.7736706961538932
98,9,0,330,0
18,18,4,348,0
95,2,3,98,0
137,10,9,252,0
110,4,0,279,0
8,7,5,345,0
66,10,0,332,0
26,19,16,329,0
41,9,2,221,0
36,17,3,333,0
80,13,7,264,0
83,15,0,324,0
17,16,2,296,0
6,19,0,331,0
96,11,3,348,0.817744273024778
40,4,5,314,0
103,10,0,320,0
145,6,0,268,0
37,8,5,284,0
64,8,0,307,0
58,5,1,128,0
88,14,1,300,0
113,7,0,270,0
106,7,0,268,0
123,12,0,320,0
146,7,4,262,0
57,14,0,338,0
89,17,0,357,0
73,5,5,243,0
92,9,0,177,0.7898508353387829
128,14,0,307,0
127,13,0,318,0
2,6,4,338,0
136,12,0,317,0
82,7,0,236,0
77,10,0,268,0
71,13,5,371,0
124,5,4,132,0
139,6,0,211,0
133,14,10,321,0
79,18,0,343,0
125,8,3,126,0
126,10,0,342,0
56,14,14,300,0
130,12,1,357,0.789501935831804
20,9,0,234,0
24,14,7,288,0
101,11,0,265,0
129,8,1,305,0
74,15,17,330,0
68,13,2,348,0
55,9,1,325,0
140,7,0,169,0
61,15,0,304,0
14,7,0,154,0
118,7,0,200,0
87,16,4,325,0
105,10,2,343,0
47,2,0,101,0
135,12,0,408,0
