id,revealed,lapses,replied,AUC
117,24,0,291,0.8958964621944989
97,44,6,320,0
84,22,0,242,0
75,33,0,302,0
63,48,31,342,0
38,32,19,355,0
4,28,0,332,0
112,20,0,162,0
69,20,5,122,0
43,29,1,278,0
102,51,1,374,0
114,35,0,335,0
142,38,0,342,0
35,47,13,344,0
45,26,0,200,0
120,17,4,144,0.8185881042833842
52,26,1,324,0
53,9,1,114,0
12,30,2,303,0
149,46,10,328,0
48,38,5,349,0
23,37,0,311,0
0,28,0,177,0
116,9,4,140,0
62,22,1,264,0
81,45,0,334,0
29,37,0,335,0
147,41,0,328,0
21,48,0,326,0
33,4,6,62,0
25,44,19,290,0.7921571422943661
54,34,1,310,0
150,49,1,334,0
141,59,0,343,0
67,35,11,282,0
138,40,0,336,0
19,38,0,262,0
99,30,7,232,0
11,45,0,329,0
44,42,2,278,0
59,34,8,272,0
111,45,0,248,0
31,33,17,231,0
131,21,2,184,0
107,32,10,229,0
76,32,22,268,0.780407756494713
72,32,0,348,0
115,12,0,170,0
15,43,0,316,0
91,41,17,338,0
132,9,0,61,0
65,41,2,267,0
148,31,1,285,0
1,25,4,280,0
50,30,2,352,0
27,27,3,305,0
51,22,4,190,0
49,27,7,254,0
39,19,17,207,0
134,31,3,312,0
78,42,0,314,0.8168898701046244
122,35,15,321,0
121,31,3,259,0
100,39,0,344,0
7,27,11,235,0
104,41,0,297,0
10,23,8,253,0
119,30,15,287,0
28,35,6,269,0
32,40,0,338,0
143,51,0,328,0
42,35,1,296,0
85,41,5,368,0
30,41,14,338,0
108,48,0,334,0
86,21,0,188,0.8878862193981277
93,41,8,324,0
90,24,0,212,0
9,36,0,340,0
144,35,0,333,0
46,26,0,285,0
16,41,15,346,0
22,10,0,180,0
3,45,0,355,0
13,29,1,315,0
109,31,0,250,0
34,31,21,325,0
70,29,10,263,0
60,6,5,50,0
94,44,0,332,0
5,41,16,336,0.8377206357725759
98,34,0,330,0
18,40,4,348,0
95,8,3,98,0
137,32,16,252,0
110,35,0,279,0
8,33,6,345,0
66,37,0,332,0
26,39,25,329,0
41,24,2,221,0
36,34,4,333,0
80,30,16,264,0
83,52,0,324,0
17,34,2,296,0
6,45,0,331,0
96,40,5,348,0.8939495091164096
40,30,19,314,0
103,41,0,320,0
145,23,0,268,0
37,33,8,284,0
64,34,0,307,0
58,11,1,128,0
88,35,1,300,0
113,36,0,270,0
106,35,0,268,0
123,31,0,320,0
146,28,5,262,0
57,42,0,338,0
89,23,0,357,0
73,26,17,243,0
92,19,0,177,0.8563239533592861
128,32,0,307,0
127,40,0,318,0
2,38,5,338,0
136,27,0,317,0
82,26,0,236,0
77,35,0,268,0
71,45,8,371,0
124,10,7,132,0
139,30,0,211,0
133,44,14,321,0
79,40,0,343,0
125,18,5,126,0
126,49,0,342,0
56,32,25,300,0
130,46,1,357,0.8265871003573843
20,25,0,234,0
24,46,7,288,0
101,28,0,265,0
129,34,1,305,0
74,40,41,330,0
68,41,2,348,0
55,37,2,325,0
140,15,0,169,0
61,37,0,304,0
14,17,0,154,0
118,19,0,200,0
87,34,5,325,0
105,40,3,343,0
47,10,0,101,0
135,44,0,408,0
