id,revealed,lapses,replied,AUC
125,2,0,126,0.786047965526985
119,16,12,287,0
133,13,11,321,0
114,13,0,335,0
26,9,15,329,0
149,12,6,328,0
98,11,0,330,0
97,14,6,320,0
108,10,0,334,0
126,8,0,342,0
89,13,0,357,0
116,6,4,140,0
113,11,0,270,0
72,11,0,348,0
148,13,1,285,0
117,6,0,291,0.7506655991920259
22,8,0,180,0
110,11,0,279,0
36,11,3,333,0
55,11,1,325,0
30,10,8,338,0
69,5,2,122,0
104,16,0,297,0
50,11,1,352,0
93,7,5,324,0
145,13,0,268,0
17,6,1,296,0
143,14,0,328,0
34,14,12,325,0
78,6,0,314,0
150,10,1,334,0.6330378616587699
128,19,0,307,0
37,6,4,284,0
49,9,5,254,0
77,12,0,268,0
61,10,0,304,0
19,4,0,262,0
121,15,2,259,0
90,8,0,212,0
146,16,3,262,0
112,6,0,162,0
132,3,0,61,0
57,13,0,338,0
47,3,0,101,0
58,6,1,128,0
29,10,0,335,0.7443408427990843
32,10,0,338,0
65,13,2,267,0
91,11,11,338,0
84,14,0,242,0
111,10,0,248,0
70,14,7,263,0
42,11,1,296,0
14,10,0,154,0
62,10,1,264,0
59,12,7,272,0
0,8,0,177,0
43,11,1,278,0
83,8,0,324,0
94,16,0,332,0
134,12,5,312,0.7295629355520462
45,5,0,200,0
102,11,1,374,0
124,8,8,132,0
52,11,1,324,0
56,7,12,300,0
27,8,2,305,0
137,9,8,252,0
130,13,1,357,0
28,8,5,269,0
35,13,10,344,0
73,13,10,243,0
95,3,2,98,0
80,10,6,264,0
23,7,0,311,0
48,10,5,349,0.7425061988383548
131,9,2,184,0
122,10,9,321,0
74,15,16,330,0
46,15,0,285,0
99,13,4,232,0
82,17,0,236,0
51,8,3,190,0
88,8,1,300,0
38,18,14,355,0
1,12,4,280,0
86,4,0,188,0
12,12,2,303,0
66,10,0,332,0
109,7,0,250,0
11,15,0,329,0.733999076193919
96,15,4,348,0
15,15,0,316,0
135,11,0,408,0
41,11,2,221,0
105,20,2,343,0
67,12,7,282,0
10,8,5,253,0
2,12,6,338,0
7,11,7,235,0
100,18,0,344,0
101,13,0,265,0
92,8,0,177,0
71,18,7,371,0
147,11,0,328,0
39,9,6,207,0.78733738408122
103,7,0,320,0
31,11,7,231,0
138,15,0,336,0
118,6,0,200,0
75,10,0,302,0
115,6,0,170,0
54,5,1,310,0
79,10,0,343,0
144,12,0,333,0
120,8,4,144,0
107,8,7,229,0
140,10,0,169,0
53,9,1,114,0
16,11,10,346,0
123,12,0,320,0.8057255439421017
5,9,8,336,0
85,13,2,368,0
64,13,0,307,0
63,16,19,342,0
129,7,1,305,0
40,11,9,314,0
127,10,0,318,0
4,18,0,332,0
24,7,4,288,0
68,7,2,348,0
3,15,0,355,0
87,18,5,325,0
142,10,0,342,0
25,7,9,290,0
33,4,2,62,0.8313308943765416
139,10,0,211,0
9,17,0,340,0
13,10,1,315,0
20,2,0,234,0
60,0,2,50,0
136,14,0,317,0
21,8,0,326,0
44,9,1,278,0
76,3,9,268,0
6,10,0,331,0
81,15,0,334,0
141,16,0,343,0
8,13,6,345,0
18,13,4,348,0
106,11,0,268,0
